"competênciamov","região","uf","município","seção","subclasse","saldomovimentação","cbo2002ocupação","categoria","graudeinstrução","idade","horascontratuais","raçacor","sexo","tipoempregador","tipoestabelecimento","tipomovimentação","tipodedeficiência","indtrabintermitente","indtrabparcial","salário","tamestabjan","indicadoraprendiz","origemdainformação","competênciadec","indicadordeforadoprazo","unidadesaláriocódigo","valorsaláriofixo"
202306,3,31,314610,"G",4711302,1,421125,101,6,40,44,3,3,0,1,97,0,0,0,1426.73,7,0,1,202306,0,5,1426.73
202306,3,31,314610,"G",4711302,-1,421125,101,7,19,44,6,1,0,1,43,0,0,0,1426.73,7,0,1,202306,0,5,1426.73
202306,3,31,314610,"F",4211101,1,717020,101,7,29,44,3,1,0,4,97,0,0,0,1381.6,1,0,1,202306,0,5,1381.6
202306,3,31,314610,"F",4299599,1,782510,101,4,49,44,3,1,0,4,97,0,0,0,2357.02,1,0,1,202306,0,5,2357.02
202306,3,31,314610,"F",4213800,-1,715130,101,2,64,44,3,1,0,1,31,0,0,0,3600,9,0,1,202306,0,5,3600
202306,3,31,314610,"F",4211101,1,715505,101,3,27,44,3,1,0,4,97,0,0,0,1872,1,0,1,202306,0,5,1872
202306,3,31,314610,"F",4391600,1,715525,101,7,25,44,6,1,0,4,97,0,0,0,1890.5,7,0,1,202306,0,5,1890.5
202306,3,31,314610,"F",4299599,1,717020,101,7,23,48,3,1,0,1,97,0,0,0,1421.2,5,0,1,202306,0,5,1421.2
202306,3,31,314610,"G",4711302,-1,521125,101,7,20,44,3,1,0,1,32,0,0,0,1450,7,0,1,202306,0,5,1450
202306,3,31,314610,"F",4211101,-1,715125,101,5,43,44,3,1,0,4,40,0,0,0,3229,1,0,1,202306,0,5,3229
202306,3,31,314610,"G",4530703,1,914405,101,7,26,44,6,1,0,1,97,0,0,0,2000,3,0,1,202306,0,5,2000
202306,3,31,314610,"F",4211101,1,715505,101,2,29,44,3,1,0,4,97,0,0,0,1872,1,0,1,202306,0,5,1872
202306,3,31,314610,"Q",8610102,-1,322205,101,7,55,44,3,3,0,1,60,0,0,0,1647.39,8,0,1,202306,0,5,1647.39
202306,3,31,314610,"F",4299599,-1,322215,101,7,48,44,6,1,0,4,40,0,0,0,3800,1,0,1,202306,0,5,3800
202306,3,31,314610,"F",4211101,1,225140,101,9,35,15,3,3,0,4,97,0,0,1,8000,1,0,1,202306,0,5,8000
